,City,Country,Lat,Lng,Hotel Name
0,mataura,NZ,-46.19,168.86,Falls Hotel
1,hermanus,ZA,-34.42,19.23,Birkenhead House
2,castro,BR,-24.79,-50.01,Hotel Buganville Express
3,nelson bay,NZ,-41.28,173.28,Trailways Hotel
4,arraial do cabo,BR,-22.84,-46.65,
5,punta arenas,PH,8.99,125.34,
6,busselton,AU,-33.65,115.33,Esplanade Hotel
7,albany,US,42.6,-73.97,
8,kapaa,US,22.08,-159.32,Hilton Garden Inn Kauai Wailua Bay
9,cape town,CL,-36.41,-71.9,Hotel Molino Viejo
10,hazorasp,UZ,41.32,61.07,Kemping wifi hotel
11,jamestown,US,42.1,-79.24,Hampton Inn & Suites Jamestown
12,yaan,NG,7.38,8.57,
13,vaini,TO,-21.2,-175.2,Paradise First Hotel
14,mancora,PE,-4.11,-81.05,Arennas Máncora
15,aksarka,RU,66.56,67.8,
16,butaritari,KI,3.07,172.79,Isles Sunset Lodge
17,pevek,RU,69.7,170.31,Munitsipal'naya Gostinitsa
18,khatanga,RU,71.97,102.5,
19,tasiilaq,GL,65.61,-37.64,Hotel Angmagssalik
20,severo-kurilsk,RU,50.68,156.12,Kak Doma
21,pisco,PE,-13.7,-76.22,Hotel Las Olas
22,nikolskoye,RU,59.7,30.79,Tourist House - Sablino
23,ribeira grande,ES,42.75,-8.44,Hotel Restaurante América
24,bluff,NZ,-46.6,168.33,Foveaux Hotel
25,christchurch,NZ,-43.53,172.63,BreakFree on Cashel Christchurch
26,nishihara,JP,26.18,127.76,百名伽藍
27,college,US,64.86,-147.8,Westmark Fairbanks Hotel & Conference Center
28,fairbanks,US,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
29,laramie,US,41.31,-105.59,Hilton Garden Inn Laramie
30,tuktoyaktuk,CA,69.45,-133.04,Smitty's Bed and Breakfast
31,jingdezhen,CN,29.29,117.21,Grand Noble Hotel
32,ternate,ID,0.8,127.4,Grand Dafam Bela Ternate
33,watsa,CD,3.04,29.54,
34,hamilton,US,39.18,-84.53,Six Acres Bed & Breakfast
35,wufeng,CN,27.45,104.83,Wangjiao Hotel
36,chokurdakh,RU,70.63,147.92,
37,hobart,AU,-42.88,147.33,The Brunswick Hotel
38,tahoua,NE,14.89,5.27,HOTEL TARKA
39,honningsvag,NO,70.98,25.97,Scandic Bryggen
40,port elizabeth,CD,-7.03,29.76,
41,verkhnyaya inta,RU,60.98,40.21,in Western
42,esperance,AU,-33.87,121.9,Hospitality Esperance
43,luderitz,,-26.65,15.16,Kairos Cottage
44,hay river,GB,52.07,-3.13,The Swan At Hay Hotel
45,kutum,SD,14.2,24.67,
46,upernavik,GL,72.79,-56.15,Café de Upernavik
47,manta,EC,-0.95,-80.73,Hotel Vistalmar
48,mbanza-ngungu,CD,-5.25,14.87,Hotel Les Cascades
49,port lincoln,CD,-7.03,29.76,
50,muravlenko,RU,63.79,74.52,E-Hotel Muravlenko
51,tiksi,RU,71.69,128.87,Arktika
52,belyy yar,RU,55.84,32.94,"Hotel ""obshatsya"""
53,tura,IN,25.52,90.22,Hotel RIKMAN Continental
54,athabasca,CA,54.72,-113.29,Super 8 by Wyndham Athabasca AB
55,hilo,US,19.73,-155.09,Hilo Hawaiian Hotel
56,port-gentil,GA,-0.72,8.78,Hotel du Parc
57,provideniya,RU,64.38,-173.3,
58,caravelas,BR,-17.71,-39.25,Pousada Encanto Abrolhos
59,east london,IS,65.0,-15.0,Hengifoss Guesthouse
